ID,Session,VPCode,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,TFPred1,TFPred2,TFPred3,TFPred4,TFPred5,TFPred6,Prediction1,Prediction2,Prediction3,Prediction4,Prediction5,Prediction6,idFinal_Questionnaire,Session,Date,VPCode,UEQS_1,UEQS_2,UEQS_3,UEQS_4,UEQS_5,UEQS_6,UEQS_7,UEQS_8,GQS_3_1,GQS_3_2,GQS_3_3,GQS_3_4,GQS_3_5,GQS_4_1,GQS_4_2,GQS_4_3,GQS_4_4,GQS_4_5,GQS_5_1,GQS_5_2,GQS_5_3,KIT_1,KIT_2,KIT_3,KIT_4,KIT_5,KIT_6,KIT_7,KIT_8,KIT_9,KIT_10,KIT_11,KUSIV3_1,KUSIV3_2,KUSIV3_3,Fun,SD_Gender,SD_Age,Notes,Date,Session,VPCode,Informing,Consent
250,NULL,BÃ„UD10,3,NULL,4,NULL,4,NULL,4,1,3,NULL,NULL,NULL,NULL,3,NULL,4,NULL,NULL,NULL,2,1,NULL,NULL,NULL,1,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,2,NULL,NULL,2,3,3,5,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,1,NULL,NULL,1,3,3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
251,NULL,PEST08,5,NULL,5,5,4,5,1,1,1,NULL,NULL,NULL,NULL,3,NULL,5,NULL,NULL,NULL,2,2,NULL,NULL,NULL,1,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,2,2,4,4,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,2,3,2,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
252,NULL,ELPE11,2,NULL,3,NULL,3,4,4,3,3,NULL,NULL,NULL,NULL,3,NULL,4,NULL,NULL,NULL,1,1,NULL,NULL,NULL,3,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,2,NULL,NULL,3,2,4,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0,1,NULL,NULL,3,3,3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
267,NULL,PITH11,5,NULL,3,4,5,3,1,1,1,NULL,NULL,NULL,NULL,4,NULL,4,NULL,NULL,NULL,2,3,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,2,NULL,NULL,2,1,4,4,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0,NULL,NULL,4,3,2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
281,NULL,HEBO05,4,NULL,4,4,4,NULL,2,3,1,NULL,NULL,NULL,NULL,4,NULL,3,NULL,NULL,NULL,3,3,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,4,NULL,NULL,4,3,4,4,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,1,0,1,0,NULL,NULL,4,3,4,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
297,NULL,ISDI04,2,NULL,5,NULL,4,5,4,1,4,NULL,NULL,NULL,NULL,5,NULL,5,NULL,NULL,NULL,1,2,NULL,NULL,NULL,4,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,1,NULL,NULL,1,2,5,5,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,NULL,NULL,3,3,3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
298,NULL,BÃ„UD10,3,NULL,4,NULL,4,NULL,4,1,3,NULL,NULL,NULL,NULL,3,NULL,4,NULL,NULL,NULL,2,1,NULL,NULL,NULL,1,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,2,NULL,NULL,2,3,3,5,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,1,NULL,NULL,1,3,3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
300,NULL,BÃ„UD10,3,NULL,4,NULL,4,NULL,4,1,3,NULL,NULL,NULL,NULL,3,NULL,4,NULL,NULL,NULL,2,1,NULL,NULL,NULL,1,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,2,NULL,NULL,2,3,3,5,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,1,NULL,NULL,1,3,3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
301,NULL,MAMA12,3,NULL,5,5,5,5,3,4,3,NULL,NULL,NULL,NULL,3,NULL,5,NULL,NULL,NULL,3,4,NULL,NULL,NULL,5,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,2,NULL,NULL,3,3,5,5,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,4,2,3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
303,NULL,CARO03,5,NULL,5,NULL,5,5,1,2,1,NULL,NULL,NULL,NULL,3,NULL,2,NULL,NULL,NULL,3,2,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,3,NULL,NULL,1,4,2,5,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,1,NULL,NULL,4,3,3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
