,Target_Variable,Target_Overweight,Target_Included,Items_Per_Scale,Predictions,mse,hit_0_trained,hit_1_trained,hit_0_untrained,hit_1_untrained
1,O1,1,TRUE,1,O1 ~ A3 + C3 + E6 + N6 + O7,"0,617953034","0,527494908","0,937542430","0,546596503","0,948395858"
2,O1,1,TRUE,1,O1 ~ A7 + C7 + E2 + N10 + O5,"0,682353280","0,480651731","0,925322471","0,510948905","0,938041080"
3,O1,1,TRUE,1,O1 ~ A10 + C9 + E5 + N5 + O10,"0,692003866","0,464358452","0,926680244","0,503140384","0,935155322"
4,O1,1,TRUE,1,O1 ~ A10 + C10 + E4 + N1 + O10,"0,708994835","0,466395112","0,927359131","0,502800883","0,928365303"
5,O1,1,TRUE,1,O1 ~ A5 + C1 + E1 + N1 + O10,"0,692733541","0,472505092","0,924643585","0,501612629","0,933797318"
6,O1,1,FALSE,1,O1 ~ A2 + C10 + E6 + N7,"0,703738522","0,479293958","0,923285811","0,502291631","0,931760312"
7,O1,1,FALSE,1,O1 ~ A8 + C2 + E1 + N1,"0,748633225","0,467073999","0,918533605","0,488032592","0,923612290"
8,O1,1,FALSE,1,O1 ~ A5 + C4 + E7 + N3,"0,729877884","0,462321792","0,919212492","0,485825836","0,925819046"
9,O1,1,FALSE,1,O1 ~ A8 + C6 + E8 + N7,"0,746132214","0,455532926","0,918533605","0,486504838","0,924800543"
10,O1,1,FALSE,1,O1 ~ A8 + C4 + E4 + N10,"0,738929357","0,469110659","0,918533605","0,487523341","0,926837549"
11,O1,2,TRUE,2,O1 ~ A6 + A5 + C2 + C6 + E4 + E5 + N5 + N2 + O4 + O7 + O10 + O4,"0,595757910","0,524779362","0,943652410","0,579697844","0,957222882"
12,O1,2,TRUE,2,O1 ~ A10 + A6 + C9 + C4 + E2 + E6 + N2 + N6 + O6 + O10 + O5 + O2,"0,637680519","0,488119484","0,928716904","0,565438805","0,948735359"
13,O1,2,TRUE,2,O1 ~ A2 + A9 + C7 + C4 + E6 + E5 + N7 + N1 + O4 + O3 + O8 + O9,"0,552731723","0,536999321","0,953156823","0,602953658","0,966389408"
14,O1,2,TRUE,2,O1 ~ A3 + A6 + C10 + C1 + E1 + E8 + N5 + N2 + O8 + O7 + O10 + O3,"0,514241342","0,536320434","0,955872369","0,622474962","0,968086912"
15,O1,2,TRUE,2,O1 ~ A1 + A4 + C1 + C4 + E10 + E1 + N1 + N2 + O5 + O9 + O3 + O6,"0,654839247","0,494229464","0,933469111","0,557800034","0,947547106"
16,O1,2,FALSE,2,O1 ~ A8 + A6 + C9 + C2 + E3 + E2 + N9 + N2,"0,718501606","0,470468432","0,923285811","0,510100153","0,933797318"
17,O1,2,FALSE,2,O1 ~ A2 + A10 + C6 + C7 + E5 + E3 + N2 + N1,"0,698110918","0,481330618","0,926680244","0,516550671","0,940926838"
18,O1,2,FALSE,2,O1 ~ A7 + A2 + C3 + C7 + E10 + E9 + N10 + N3,"0,689398230","0,486761711","0,932111337","0,527754201","0,938380581"
19,O1,2,FALSE,2,O1 ~ A4 + A3 + C10 + C2 + E5 + E7 + N2 + N8,"0,696513975","0,475220638","0,923964698","0,520624682","0,936852826"
20,O1,2,FALSE,2,O1 ~ A4 + A2 + C1 + C3 + E6 + E2 + N6 + N3,"0,661002931","0,498981670","0,934826884","0,531488712","0,944321847"
21,O1,3,TRUE,3,O1 ~ A6 + A7 + A9 + C3 + C4 + C1 + E6 + E5 + E9 + N10 + N7 + N9 + O3 + O7 + O8 + O6 + O4 + O9 + O5 + O10 + O2,"0,506753917","0,544467074","0,952477936","0,657273808","0,972330674"
22,O1,3,TRUE,3,O1 ~ A4 + A1 + A9 + C10 + C5 + C9 + E7 + E2 + E4 + N9 + N4 + N5 + O5 + O8 + O4 + O6 + O2 + O3 + O4 + O10 + O9,"0,535417562","0,527494908","0,951120163","0,640638262","0,968935665"
23,O1,3,TRUE,3,O1 ~ A4 + A5 + A9 + C4 + C5 + C10 + E7 + E3 + E2 + N6 + N10 + N4 + O2 + O4 + O10 + O7 + O6 + O7 + O4 + O2 + O3,"0,599687715","0,513917176","0,943652410","0,610762180","0,960108640"
24,O1,3,TRUE,3,O1 ~ A6 + A2 + A9 + C6 + C4 + C2 + E7 + E2 + E6 + N7 + N3 + N5 + O4 + O9 + O6 + O5 + O2 + O3 + O8 + O10 + O7,"0,515081541","0,554650373","0,951799050","0,662536072","0,971312171"
25,O1,3,TRUE,3,O1 ~ A2 + A8 + A6 + C2 + C3 + C7 + E10 + E8 + E5 + N8 + N4 + N9 + O9 + O10 + O6 + O5 + O7 + O4 + O4 + O3 + O8,"0,525675715","0,550577054","0,953156823","0,662536072","0,970293668"
26,O1,3,FALSE,3,O1 ~ A5 + A3 + A7 + C9 + C4 + C2 + E5 + E9 + E1 + N8 + N4 + N9,"0,691394825","0,467752885","0,927359131","0,534544220","0,943982346"
27,O1,3,FALSE,3,O1 ~ A6 + A10 + A4 + C4 + C6 + C9 + E9 + E2 + E4 + N8 + N6 + N10,"0,709344560","0,477257298","0,917854718","0,533695468","0,934476320"
28,O1,3,FALSE,3,O1 ~ A9 + A2 + A6 + C3 + C2 + C5 + E6 + E1 + E3 + N10 + N2 + N5,"0,664929554","0,491513917","0,925322471","0,554235274","0,944831098"
29,O1,3,FALSE,3,O1 ~ A9 + A8 + A7 + C9 + C4 + C7 + E8 + E10 + E7 + N7 + N1 + N9,"0,711346667","0,471826205","0,924643585","0,527754201","0,936173824"
30,O1,3,FALSE,3,O1 ~ A3 + A7 + A10 + C8 + C1 + C6 + E7 + E9 + E6 + N10 + N9 + N4,"0,687385369","0,485403938","0,931432451","0,538108980","0,945000849"
31,O1,1,TRUE,1,O1 ~ A2 + C2 + E7 + N5 + O7,"0,618819589","0,521384929","0,942973523","0,537939229","0,948735359"
32,O1,1,TRUE,1,O1 ~ A1 + C7 + E8 + N7 + O2,"0,693526613","0,497623897","0,931432451","0,509421151","0,937531828"
33,O1,1,TRUE,1,O1 ~ A9 + C4 + E6 + N8 + O5,"0,683185043","0,480651731","0,926680244","0,515532168","0,935664573"
34,O1,1,TRUE,1,O1 ~ A10 + C8 + E7 + N4 + O10,"0,720003408","0,471147318","0,926001358","0,505007639","0,929553556"
35,O1,1,TRUE,1,O1 ~ A6 + C6 + E10 + N8 + O9,"0,727671220","0,462321792","0,923964698","0,492785605","0,931590562"
36,O1,2,TRUE,1,O1 ~ A2 + C8 + E10 + N3 + O8 + O4,"0,551912189","0,533604888","0,947046843","0,559158038","0,959599389"
37,O1,2,TRUE,1,O1 ~ A3 + C9 + E3 + N1 + O3 + O7,"0,621312854","0,515274949","0,938221317","0,547445255","0,948056357"
38,O1,2,TRUE,1,O1 ~ A2 + C7 + E4 + N5 + O6 + O3,"0,675053282","0,479293958","0,929395791","0,515871669","0,939059582"
39,O1,2,TRUE,1,O1 ~ A9 + C5 + E5 + N7 + O6 + O2,"0,660418652","0,498981670","0,935505771","0,531658462","0,941945340"
40,O1,2,TRUE,1,O1 ~ A1 + C10 + E8 + N5 + O2 + O3,"0,666709675","0,504412763","0,932111337","0,532337464","0,940247836"
